brand_name,model_name,price_in_inr,customer_rating,safety_rating,annual_sales_2024,mileage_min(kmpl),mileage_max(kmpl),min_BHP,max_BHP,sales_status
"Maruti Suzuki",Brezza,869000,4.5,4,169897,17,25,87,102,Sold
"Maruti Suzuki",Fronx,754000,4.6,3,134735,20,28,76,99,Sold
"Maruti Suzuki",Swift,649000,4.6,2,195321,24,32,69,80,Sold
"Maruti Suzuki",Dzire,684000,4.7,5,164517,24,33,69,80,Sold
"Maruti Suzuki",Baleno,670000,4.5,4,195607,22,30,76,88,Sold
"Maruti Suzuki","Grand Vitara",1142000,4.5,5,121169,19,27,87,102,Sold
"Maruti Suzuki","Wagon R",579000,4.5,1,200177,23,34,56,90,Sold
"Maruti Suzuki","Alto K10",423000,4.6,2,111955,24,33,56,68,Sold
"Maruti Suzuki",Ertiga,897000,4.6,3,149757,20,26,87,102,Sold
"Maruti Suzuki",XL6,1183000,4.4,3,45334,20,26,87,102,Sold
"Maruti Suzuki",Celerio,564000,NULL,2,39931,24,35,56,66,Sold
"Maruti Suzuki",Jimny,1276000,3.5,3,17009,16,16,103,103,Sold
"Maruti Suzuki",Ignis,585000,4.7,3,32463,20,20,82,82,Sold
"Maruti Suzuki",S-Presso,426000,4.4,1,30139,24,32,56,66,Sold
"Maruti Suzuki",Ciaz,942000,4.3,4,10337,20,28,89,103,Sold
"Maruti Suzuki",Eeco,570000,4.6,1,137139,19,26,71,81,Sold
"Maruti Suzuki",Invicto,2551000,4.6,5,4395,23,23,150,150,Sold
"Maruti Suzuki","Wagon R Flex Fuel",850000,4.5,2,200177,NULL,NULL,67,89,Sold
Mahindra,"Scorpio N",1399000,4.7,5,141462,NULL,NULL,130,200,Sold
Mahindra,"XUV 3XO",799000,4.6,5,53962,17,21,110,129,Sold
Mahindra,XUV700,1449000,4.6,5,79398,NULL,NULL,153,197,Sold
Mahindra,"BE 6",1890000,4.7,5,0,NULL,NULL,NULL,NULL,"No sales"
Mahindra,"Thar Roxx",1299000,4.7,5,0,12,15,150,174,"No sales"
Mahindra,Thar,1150000,4.7,4,65246,NULL,NULL,117,150,Sold
Mahindra,"XEV 9e",2190000,4.7,5,0,NULL,NULL,NULL,NULL,"No sales"
Mahindra,Scorpio,1377000,4.8,4,141462,15,15,130,130,Sold
Mahindra,Bolero,981000,4.6,3,110841,16,16,75,75,Sold
Mahindra,"Bolero Neo",997000,4.6,1,110841,17,17,100,100,Sold
Mahindra,"Bolero Neo Plus",1141000,4.6,NULL,110841,NULL,NULL,118,118,Sold
Mahindra,XUV400,1549000,3.9,5,8237,NULL,NULL,NULL,NULL,Sold
Mahindra,Marazzo,1459000,4.3,4,718,17,17,121,121,Sold
Tata,"Harrier EV",2149000,4.8,5,0,NULL,NULL,200,250,"No sales"
Tata,Altroz,689000,4.7,5,70162,NULL,NULL,72,89,Sold
Tata,Nexon,800000,4.6,5,171697,17,24,99,118,Sold
Tata,Punch,620000,4.4,5,170076,18,26,72,87,Sold
Tata,Harrier,1500000,4.7,5,24701,14,16,168,168,Sold
Tata,Tiago,500000,4.4,4,85478,19,28,72,85,Sold
Tata,Curvv,1000000,4.6,5,0,NULL,NULL,116,123,"No sales"
Tata,Safari,1550000,4.7,5,21944,14,16,168,168,Sold
Tata,"Curvv EV",1749000,4.4,5,0,NULL,NULL,200,250,"No sales"
Tata,"Nexon EV",1249000,4.4,5,0,NULL,NULL,127,143,"No sales"
Tata,"Punch EV",999000,4.4,5,0,NULL,NULL,120,120,"No sales"
Tata,"Tiago EV",799000,4.5,4,0,NULL,NULL,73,73,"No sales"
Tata,Tigor,600000,4.5,4,26921,19,28,72,85,Sold
Tata,"Tigor EV",1249000,3.6,4,0,NULL,NULL,75,75,"No sales"
Tata,"Tiago NRG",720000,4.7,4,0,20,26,72,85,"No sales"
Tata,"Harrier EV Stealth",2705000,4.8,5,0,NULL,NULL,210,210,"No sales"
Hyundai,Creta,1111000,4.6,3,162773,NULL,NULL,113,158,Sold
Hyundai,Exter,621000,4.6,3,71301,19,27,68,82,Sold
Hyundai,Venue,794000,4.6,3,128897,17,23,82,118,Sold
Hyundai,"Grand i10 Nios",598000,4.5,2,70764,NULL,NULL,68,82,Sold
Hyundai,Verna,1107000,4.6,5,30027,18,20,113,158,Sold
Hyundai,i20,704000,4.6,3,69988,NULL,NULL,82,87,Sold
Hyundai,Aura,654000,4.6,2,55215,NULL,NULL,68,82,Sold
Hyundai,Alcazar,1499000,4.6,3,20753,NULL,NULL,114,158,Sold
Hyundai,Tucson,2927000,3.9,5,2883,NULL,NULL,154,184,Sold
Hyundai,"Creta Electric",1799000,4.7,5,0,NULL,NULL,138,170,"No sales"
Hyundai,"i20 N Line",999000,4.6,3,0,NULL,NULL,118,118,"No sales"
Hyundai,"Creta N Line",1693000,4.7,3,0,NULL,NULL,158,158,"No sales"
Hyundai,"Ioniq 5",4605000,4.5,5,1400,NULL,NULL,217,217,Sold
Hyundai,"Venue N Line",1215000,4.8,3,0,18,18,118,118,"No sales"
Toyota,"Urban Cruiser Hyryder",1134000,4.4,5,48916,19,27,87,102,Sold
Toyota,"Urban Cruiser Taisor",774000,4.6,4,0,19,28,76,99,"No sales"
Toyota,Glanza,690000,4.6,2,52262,22,30,76,89,Sold
Toyota,Fortuner,3605000,4.5,5,35063,10,14,164,201,Sold
Toyota,"Innova Crysta",1999000,4.8,5,98181,NULL,NULL,148,148,Sold
Toyota,"Innova Hycross",1994000,4.6,5,98181,16,23,173,184,Sold
Toyota,Vellfire,12200000,4.8,5,400,19,19,142,142,Sold
Toyota,Hilux,3040000,3.8,3,2986,NULL,NULL,201,201,Sold
Toyota,Camry,4850000,4.6,NULL,2348,25,25,184,184,Sold
Toyota,"Fortuner Legender",4451000,4.8,5,35063,14,14,201,201,Sold
Toyota,Rumion,1054000,4.8,NULL,5973,20,26,87,102,Sold
Toyota,"Land Cruiser",23100000,4.8,NULL,0,NULL,NULL,304,304,"No sales"
Kia,Seltos,1119000,4.7,3,100423,17,20,113,158,Sold
Kia,Sonet,800000,4.4,NULL,81384,NULL,NULL,82,118,Sold
Kia,"Carens Clavis",1150000,4.6,NULL,0,15,19,113,158,"No sales"
Kia,Carens,1141000,4.5,3,63167,NULL,NULL,113,158,Sold
Kia,Syros,950000,4.5,5,0,17,20,114,118,"No sales"
Kia,Carnival,6391000,2.6,NULL,0,14,14,190,190,"No sales"
Kia,EV6,6597000,4.8,5,660,NULL,NULL,NULL,NULL,Sold
Kia,EV9,13000000,4.7,NULL,0,NULL,NULL,NULL,NULL,"No sales"
BMW,"3 Series LWB",6200000,4.9,NULL,3685,NULL,NULL,188,255,Sold
BMW,"5 Series",7440000,4.9,5,1242,15,15,255,255,Sold
BMW,X5,9780000,NULL,NULL,2056,12,12,282,375,Sold
BMW,M5,19900000,4.9,NULL,0,NULL,NULL,717,717,"No sales"
BMW,X1,5080000,4.5,5,3454,16,20,134,148,Sold
BMW,X3,7580000,4.8,5,0,13,17,188,194,"No sales"
BMW,M340i,7590000,4.8,5,875,13,13,369,369,Sold
